img1,img2,response,dim
flower1_9991_1.png,flower1_9991_1.png,s,-1
flower1_9191_1.png,flower1_9191_1.png,s,-1
flower1_1111_1.png,flower1_1111_1.png,s,-1
flower1_9111_1.png,flower1_9111_1.png,s,-1
flower1_1991_1.png,flower1_1991_1.png,s,-1
flower1_1119_1.png,flower1_1119_1.png,s,-1
flower1_1919_1.png,flower1_1919_1.png,s,-1
flower1_1999_1.png,flower1_1999_1.png,s,-1
flower1_9199_1.png,flower1_1199_1.png,d,0
flower1_9911_1.png,flower1_1911_1.png,d,0
flower1_9919_1.png,flower1_1919_1.png,d,0
flower1_9999_1.png,flower1_1999_1.png,d,0
flower1_1191_1.png,flower1_9191_1.png,d,0
flower1_1119_1.png,flower1_9119_1.png,d,0
flower1_1199_1.png,flower1_9199_1.png,d,0
flower1_9199_1.png,flower1_1199_1.png,d,0
flower1_9991_1.png,flower1_9191_1.png,d,1
flower1_9111_1.png,flower1_9911_1.png,d,1
flower1_9119_1.png,flower1_9919_1.png,d,1
flower1_9199_1.png,flower1_9999_1.png,d,1
flower1_1191_1.png,flower1_1991_1.png,d,1
flower1_1111_1.png,flower1_1911_1.png,d,1
flower1_9919_1.png,flower1_9119_1.png,d,1
flower1_9999_1.png,flower1_9199_1.png,d,1
flower1_1191_1.png,flower1_1111_1.png,d,2
flower1_1911_1.png,flower1_1991_1.png,d,2
flower1_9919_1.png,flower1_9999_1.png,d,2
flower1_1191_1.png,flower1_1111_1.png,d,2
flower1_9111_1.png,flower1_9191_1.png,d,2
flower1_1991_1.png,flower1_1911_1.png,d,2
flower1_1119_1.png,flower1_1199_1.png,d,2
flower1_1199_1.png,flower1_1119_1.png,d,2
flower1_1991_1.png,flower1_1999_1.png,d,3
flower1_1991_1.png,flower1_1999_1.png,d,3
flower1_1919_1.png,flower1_1911_1.png,d,3
flower1_1199_1.png,flower1_1191_1.png,d,3
flower1_1999_1.png,flower1_1991_1.png,d,3
flower1_9191_1.png,flower1_9199_1.png,d,3
flower1_1919_1.png,flower1_1911_1.png,d,3
flower1_1919_1.png,flower1_1911_1.png,d,3
